date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:52	7848/7848	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Jun%202024%2011:51:51%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	(from https://wisdom-ships.b12sites.com/index)
12:51:52	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:52%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.12.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:54	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:53%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.14d41d.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:54	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Jun%202024%2011:51:53%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://wisdom-ships.b12sites.com/index)
12:51:55	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:55%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.16.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:55	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Jun%202024%2011:51:55%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://wisdom-ships.b12sites.com/index)
12:51:56	979/979	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jun%202024%2011:51:56%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.17.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:57	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:56%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.18.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:59	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:59%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.1a.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:59	98024/98024	---M--	200	added ('OK')	font/woff	date:Wed,%2005%20Jun%202024%2011:51:59%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://wisdom-ships.b12sites.com/index)
12:52:01	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:52:00%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.1c.delayed	(from https://wisdom-ships.b12sites.com/index)
